sat_id,toc_time,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,delta_n,health
C19,2026-04-01 00:00:00,259200.0,-0.0009550654212944,3.79252185212e-12,0.0,34.1015625,0.00110137386946,0.9880121674268,-2.108259530569,-0.6638261036846,2.869007019624,3.84426727202e-09,0.0
C19,2026-04-01 00:00:00,259200.0,-0.0009550654212944,3.79252185212e-12,0.0,34.1015625,0.00110137386946,0.9880121674268,-2.108259530569,-0.6638261036846,2.869007019624,3.84426727202e-09,0.0
C19,2026-04-01 01:00:00,262800.0,-0.0009550516260788,3.812949955773e-12,0.0,39.08203125,0.001101049478166,0.9880140458137,-2.108284533302,-0.6632417790937,-2.927196905683,3.826945121911e-09,0.0
C19,2026-04-01 01:00:00,262800.0,-0.0009550516260788,3.812949955773e-12,0.0,39.08203125,0.001101049478166,0.9880140458137,-2.108284533302,-0.6632417790937,-2.927196905683,3.826945121911e-09,0.0
C19,2026-04-01 02:00:00,266400.0,-0.0009550370159559,3.899103262484e-12,0.0,35.380859375,0.001100541383494,0.9880158539804,-2.108309322449,-0.6628497719079,-2.440023332949,3.812123075942e-09,0.0
C19,2026-04-01 02:00:00,266400.0,-0.0009550370159559,3.899103262484e-12,0.0,35.380859375,0.001100541383494,0.9880158539804,-2.108309322449,-0.6628497719079,-2.440023332949,3.812123075942e-09,0.0
C19,2026-04-01 03:00:00,270000.0,-0.0009550231043249,3.890221478287e-12,0.0,17.623046875,0.001101446570829,0.9880175831496,-2.108334102087,-0.662933532014,-1.952371072938,3.814623180081e-09,0.0
C19,2026-04-01 03:00:00,270000.0,-0.0009550231043249,3.890221478287e-12,0.0,17.623046875,0.001101446570829,0.9880175831496,-2.108334102087,-0.662933532014,-1.952371072938,3.814623180081e-09,0.0
C19,2026-04-01 04:00:00,273600.0,-0.0009550087852404,3.919531366137e-12,0.0,7.412109375,0.001102888432797,0.9880193203648,-2.10835895487,-0.6624962270328,-1.465238399004,3.80980155067e-09,0.0
C19,2026-04-01 05:00:00,277200.0,-0.0009549959213473,3.826272632068e-12,0.0,19.126953125,0.001103110844269,0.9880211234113,-2.108383882994,-0.6623663477028,-0.9778004681943,3.770871357642e-09,0.0
C19,2026-04-01 06:00:00,280800.0,-0.0009549816604704,3.854694341499e-12,0.0,39.5,0.001102794019971,0.9880230727497,-2.108408862321,-0.6634914545908,-0.4891107827531,3.702832809278e-09,0.0
C19,2026-04-01 06:00:00,280800.0,-0.0009549816604704,3.854694341499e-12,0.0,39.5,0.001102794019971,0.9880230727497,-2.108408862321,-0.6634914545908,-0.4891107827531,3.702832809278e-09,0.0
C19,2026-04-01 07:00:00,284400.0,-0.0009549682727084,3.806732706835e-12,0.0,45.67578125,0.001103025279008,0.9880252034899,-2.108433724613,-0.6646304277479,-0.0004079076424192,3.640865942395e-09,0.0
C19,2026-04-01 07:00:00,284400.0,-0.0009549682727084,3.806732706835e-12,0.0,45.67578125,0.001103025279008,0.9880252034899,-2.108433724613,-0.6646304277479,-0.0004079076424192,3.640865942395e-09,0.0
C19,2026-04-01 08:00:00,288000.0,-0.0009549545357004,3.810285420514e-12,0.0,29.86328125,0.001102519512642,0.9880273554423,-2.108458333821,-0.6641983205147,0.4867271742548,3.634079945445e-09,0.0
C19,2026-04-01 08:00:00,288000.0,-0.0009549545357004,3.810285420514e-12,0.0,29.86328125,0.001102519512642,0.9880273554423,-2.108458333821,-0.6641983205147,0.4867271742548,3.634079945445e-09,0.0
C19,2026-04-01 09:00:00,291600.0,-0.0009549411479384,3.795186387379e-12,0.0,17.228515625,0.00110078335274,0.9880294013333,-2.108482850134,-0.6635721784105,0.9736706943441,3.647830518212e-09,0.0
C19,2026-04-01 09:00:00,291600.0,-0.0009549411479384,3.795186387379e-12,0.0,17.228515625,0.00110078335274,0.9880294013333,-2.108482850134,-0.6635721784105,0.9736706943441,3.647830518212e-09,0.0
C19,2026-04-01 10:00:00,295200.0,-0.0009549260721542,3.946176718728e-12,0.0,33.12109375,0.001100842200685,0.9880314201602,-2.108507420575,-0.6635030906412,1.461167901131,3.611936165925e-09,0.0
C19,2026-04-01 10:00:00,295200.0,-0.0009549260721542,3.946176718728e-12,0.0,33.12109375,0.001100842200685,0.9880314201602,-2.108507420575,-0.6635030906412,1.461167901131,3.611936165925e-09,0.0
C19,2026-04-01 11:00:00,298800.0,-0.0009549126843922,3.862687947276e-12,0.0,55.25390625,0.001102331036236,0.9880335106702,-2.10853199321,-0.6625581274855,1.947785498433,3.560684031068e-09,0.0
C19,2026-04-01 11:00:00,298800.0,-0.0009549126843922,3.862687947276e-12,0.0,55.25390625,0.001102331036236,0.9880335106702,-2.10853199321,-0.6625581274855,1.947785498433,3.560684031068e-09,0.0
C19,2026-04-01 12:00:00,302400.0,-0.0009548988891765,3.847588914141e-12,0.0,51.125,0.001102548849303,0.9880356319014,-2.108556478801,-0.6623097452079,2.435101839537,3.57104160536e-09,0.0
C19,2026-04-01 12:00:00,302400.0,-0.0009548988891765,3.847588914141e-12,0.0,51.125,0.001102548849303,0.9880356319014,-2.108556478801,-0.6623097452079,2.435101839537,3.57104160536e-09,0.0
C19,2026-04-01 13:00:00,306000.0,-0.0009548855596222,3.798739101057e-12,0.0,38.560546875,0.00110255664913,0.9880376638946,-2.108580921968,-0.6632584753778,2.923618003876,3.600149960697e-09,0.0
C19,2026-04-01 13:00:00,306000.0,-0.0009548855596222,3.798739101057e-12,0.0,38.560546875,0.00110255664913,0.9880376638946,-2.108580921968,-0.6632584753778,2.923618003876,3.600149960697e-09,0.0
